date,price
1476144000000,622.5
1476230400000,639.358
1476316800000,620.0
1476403200000,645.99897278
1476662400000,638.75
1476748800000,621.001
1476835200000,639.0
1476921600000,635.0
1477008000000,625.0
1477094400000,635.0
1477180800000,664.5
1477267200000,652.911011
1477353600000,661.75468122
1477440000000,665.0
1477526400000,679.0
1477612800000,685.0
1477699200000,699.0
1477785600000,702.02
1477872000000,700.00100001
1477958400000,710.687
1478044800000,742.658
1478131200000,748.86
1478217600000,701.184
1478304000000,707.67999999
1478390400000,703.0
1478476800000,699.0
1478563200000,702.84262999
1478649600000,715.0
1478736000000,707.0
1478822400000,713.0
1478908800000,713.0
1478995200000,708.0
1479081600000,709.99997566
1479168000000,709.5
1479254400000,718.0
1479340800000,741.89
1479427200000,748.5
1479513600000,749.0
1479600000000,738.0
1479686400000,746.33994625
1479772800000,746.33999599
1479859200000,748.0
1479945600000,741.0
1480032000000,741.0
1480118400000,727.02511637
1480204800000,730.0
1480291200000,735.09999996
1480377600000,732.0
1480464000000,736.99991918
1480550400000,744.2
1480636800000,758.0
1480723200000,774.0
1480809600000,755.00000001
1480896000000,774.98994023
1480982400000,774.98984246
1481068800000,740.0
1481155200000,762.50000002
1481241600000,762.50000018
1481328000000,770.0
1481414400000,767.0
1481500800000,769.0
1481587200000,779.094
1481846400000,779.99
1481932800000,781.75099999
1482019200000,798.0
1482105600000,781.5858
1482192000000,795.0
1482278400000,798.999
1482364800000,840.66
1482451200000,858.0
1482537600000,915.0
1482624000000,899.99999926
1482710400000,914.89999992
1482796800000,912.0
1482883200000,943.329
1482969600000,990.99998322
1483056000000,963.00000001
1483142400000,948.0
1483228800000,973.0
1483315200000,999.0
1483401600000,1019.0
1483488000000,1038.99
1483574400000,1090.53000001
1483660800000,1020.0
1483747200000,900.949
1483833600000,900.92155245
1483920000000,885.00000061
1484006400000,905.0
1484092800000,915.69998447
1484179200000,778.25
1484265600000,804.9
1484352000000,829.99
1484438400000,814.0
1484524800000,822.0
1484611200000,830.0
1484697600000,904.638
1484784000000,884.646
1484870400000,903.91443434
1484956800000,896.5
1485043200000,924.0
1485129600000,919.2641472
1485216000000,911.375
1485302400000,890.0
1485388800000,898.92043194
1485475200000,916.98
1485561600000,923.88999999
1485648000000,919.374
1485734400000,910.50009171
1485820800000,920.439
1485907200000,962.89
1485993600000,981.5034003
1486080000000,1008.0
1486166400000,1000.00000001
1486252800000,1027.7075
1486339200000,1016.88887994
1486425600000,1024.75
1486512000000,1051.2
1486598400000,1042.12351562
1486684800000,957.0
1486771200000,994.602
1486857600000,997.70343748
1486944000000,1004.99899999
1487030400000,985.00000001
